dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.991,0.995,0.995,0.902,0.999,0.991,0.995,13.967019319534302
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.729,0.999,0.991,0.995,6.392289161682129
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.888,0.999,1.0,1.0,6.856043577194214
synth_old,train,pv,150,374,0.419,0.289,0.342,0.248,0.119,0.361,0.252,0.297,7.1699604988098145
synth_old,val,pv,12,35,0.761,0.456,0.57,0.565,0.248,0.663,0.4,0.499,5.4285972118377686
synth_old,test,pv,18,32,0.195,0.402,0.263,0.203,0.109,0.128,0.281,0.176,5.490224123001099
mix_synth_rzesz,train,pv,1449,2706,0.926,0.865,0.894,0.931,0.725,0.905,0.845,0.874,17.835760831832886
rzeszow,train,pv,435,1692,0.874,0.796,0.833,0.875,0.621,0.839,0.764,0.799,9.865538358688354
rzeszow,val,pv,661,2767,0.668,0.495,0.569,0.522,0.343,0.648,0.49,0.558,11.402910709381104
rzeszow,test,pv,8440,66301,0.595,0.413,0.487,0.421,0.245,0.58,0.399,0.473,74.86558103561401
pilot,test,pv,54,227,0.364,0.119,0.179,0.121,0.05,0.205,0.11,0.143,6.45155930519104
