dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.001,0.303,0.002,0.047,0.016,0.0,0.104,0.001,23.465789079666138
synth_new2,val,pv,225,225,0.001,0.284,0.002,0.032,0.009,0.0,0.133,0.001,9.58870244026184
synth_new2,test,pv,114,114,0.001,0.36,0.002,0.03,0.009,0.001,0.149,0.001,11.745309829711914
synth_new1,train,pv,789,789,0.001,0.321,0.002,0.042,0.014,0.0,0.114,0.001,28.254714965820312
synth_new1,val,pv,225,225,0.001,0.267,0.002,0.03,0.009,0.0,0.076,0.001,11.03077483177185
synth_new1,test,pv,114,114,0.001,0.307,0.002,0.074,0.033,0.0,0.14,0.001,10.852327823638916
synth_old,train,pv,150,374,0.002,0.289,0.005,0.009,0.003,0.002,0.281,0.005,14.666795492172241
synth_old,val,pv,12,35,0.004,0.4,0.008,0.03,0.009,0.004,0.371,0.007,9.449467182159424
synth_old,test,pv,18,32,0.003,0.438,0.005,0.044,0.023,0.002,0.375,0.004,9.99123764038086
mix_synth_rzesz,train,pv,1449,2706,0.002,0.326,0.004,0.027,0.01,0.001,0.19,0.002,34.21089315414429
rzeszow,train,pv,435,1692,0.004,0.338,0.009,0.019,0.007,0.003,0.24,0.006,13.851792573928833
rzeszow,val,pv,661,2767,0.004,0.276,0.008,0.01,0.003,0.003,0.215,0.006,20.572561740875244
rzeszow,test,pv,8440,66301,0.005,0.189,0.01,0.011,0.004,0.003,0.112,0.006,91.07274270057678
pilot,test,pv,54,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.073500394821167
