dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.785,0.721,0.751,0.788,0.414,0.774,0.717,0.744,11.518505096435547
synth_new2,test,pv,114,114,0.764,0.74,0.752,0.812,0.435,0.782,0.757,0.77,6.348588466644287
synth_new1,test,pv,114,114,0.84,0.789,0.814,0.843,0.434,0.849,0.781,0.813,7.473890066146851
synth_old,train,pv,150,374,0.413,0.358,0.384,0.316,0.124,0.349,0.305,0.325,11.779361248016357
synth_old,val,pv,12,35,0.818,0.571,0.673,0.608,0.226,0.818,0.571,0.673,5.381414890289307
synth_old,test,pv,18,32,0.387,0.406,0.397,0.277,0.142,0.225,0.219,0.222,6.07679557800293
mix_synth_rzesz,train,pv,1449,2706,0.857,0.805,0.83,0.864,0.559,0.833,0.773,0.802,13.528412342071533
rzeszow,train,pv,435,1692,0.912,0.848,0.879,0.908,0.636,0.869,0.809,0.838,8.428891658782959
rzeszow,val,pv,661,2767,0.881,0.739,0.804,0.788,0.543,0.876,0.703,0.78,9.615080118179321
rzeszow,test,pv,8440,66301,0.941,0.888,0.914,0.943,0.605,0.923,0.851,0.886,220.94570517539978
pilot,test,pv,54,227,0.409,0.268,0.324,0.232,0.091,0.413,0.251,0.312,9.084140539169312
