dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,t
synth_new2,train,pv,1014,1014,0.377,0.65,0.478,0.419,0.217,8.802933931350708
synth_new2,val,pv,225,225,0.32,0.653,0.43,0.435,0.222,5.915265083312988
synth_new2,test,pv,114,114,0.399,0.71,0.511,0.469,0.198,5.528245687484741
synth_new1,train,pv,789,789,0.371,0.645,0.471,0.408,0.211,9.319127082824707
synth_new1,val,pv,225,225,0.371,0.631,0.468,0.457,0.219,5.589378118515015
synth_new1,test,pv,114,114,0.388,0.667,0.491,0.442,0.231,5.202820777893066
synth_old,train,pv,150,374,0.508,0.393,0.443,0.349,0.158,5.933603048324585
synth_old,val,pv,12,35,0.717,0.507,0.594,0.565,0.287,4.664863348007202
synth_old,test,pv,18,32,0.339,0.281,0.307,0.171,0.085,4.930246353149414
mix_synth_rzesz,train,pv,1449,2706,0.745,0.639,0.688,0.756,0.482,11.79451036453247
rzeszow,train,pv,435,1692,0.868,0.812,0.839,0.878,0.587,7.552969932556152
rzeszow,val,pv,661,2767,0.766,0.644,0.7,0.689,0.434,7.799684286117554
rzeszow,test,pv,8440,66301,0.814,0.714,0.761,0.791,0.468,38.77259421348572
pilot,test,pv,54,227,0.318,0.295,0.306,0.255,0.107,5.308362245559692
