dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.995,0.997,0.995,0.929,1.0,0.993,0.996,14.213273048400879
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,7.9186601638793945
synth_new2,test,pv,114,114,0.999,0.982,0.991,0.995,0.847,0.999,0.982,0.991,7.183960676193237
synth_new1,train,pv,789,789,1.0,0.991,0.996,0.995,0.921,1.0,0.991,0.996,11.737158298492432
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.925,0.999,0.996,0.997,8.117768287658691
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.915,0.999,1.0,1.0,7.043090343475342
synth_old,train,pv,150,374,0.361,0.176,0.237,0.164,0.074,0.251,0.162,0.197,7.4200499057769775
synth_old,val,pv,12,35,0.695,0.486,0.572,0.524,0.261,0.635,0.429,0.512,5.587313413619995
synth_old,test,pv,18,32,0.452,0.25,0.322,0.236,0.129,0.29,0.219,0.249,5.75316858291626
mix_synth_rzesz,train,pv,1449,2706,0.942,0.912,0.926,0.964,0.809,0.931,0.88,0.905,17.168862342834473
rzeszow,train,pv,435,1692,0.896,0.868,0.881,0.932,0.721,0.879,0.822,0.85,10.644585847854614
rzeszow,val,pv,661,2767,0.644,0.488,0.555,0.506,0.322,0.616,0.466,0.531,11.541612148284912
rzeszow,test,pv,8440,66301,0.629,0.399,0.489,0.438,0.261,0.605,0.373,0.462,72.52496933937073
pilot,test,pv,54,227,0.337,0.159,0.216,0.13,0.056,0.328,0.154,0.21,7.022433519363403
