dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.954,0.923,0.938,0.969,0.631,0.953,0.922,0.937,11.473472118377686
synth_new2,test,pv,114,114,0.966,0.886,0.924,0.963,0.486,0.966,0.886,0.924,6.979878664016724
synth_new1,test,pv,114,114,0.961,0.965,0.963,0.988,0.659,0.961,0.965,0.963,8.021520614624023
synth_old,train,pv,150,374,0.374,0.302,0.334,0.268,0.112,0.35,0.257,0.296,7.406705617904663
synth_old,val,pv,12,35,0.525,0.514,0.52,0.388,0.158,0.555,0.543,0.549,5.659062147140503
synth_old,test,pv,18,32,0.62,0.281,0.387,0.23,0.111,0.353,0.156,0.217,6.008251190185547
mix_synth_rzesz,train,pv,1449,2706,0.926,0.883,0.904,0.942,0.647,0.902,0.856,0.878,14.975740194320679
rzeszow,train,pv,435,1692,0.9,0.876,0.888,0.926,0.66,0.858,0.832,0.845,9.276348114013672
rzeszow,val,pv,661,2767,0.834,0.694,0.758,0.743,0.502,0.811,0.655,0.725,10.433360576629639
rzeszow,test,pv,8440,66301,0.886,0.803,0.842,0.877,0.543,0.865,0.759,0.809,55.63822555541992
pilot,test,pv,54,227,0.352,0.273,0.308,0.22,0.075,0.354,0.238,0.285,6.781573295593262
