dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.994,0.986,0.99,0.995,0.865,0.994,0.986,0.99,10.47306203842163
synth_new2,test,pv,114,114,1.0,0.982,0.991,0.994,0.667,1.0,0.982,0.991,6.0548200607299805
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.838,0.999,1.0,0.999,6.719053268432617
synth_old,train,pv,150,374,0.29,0.25,0.269,0.193,0.082,0.249,0.219,0.233,6.846760988235474
synth_old,val,pv,12,35,0.376,0.4,0.388,0.375,0.164,0.376,0.4,0.388,4.803622007369995
synth_old,test,pv,18,32,0.234,0.25,0.242,0.133,0.069,0.222,0.094,0.132,5.009258508682251
mix_synth_rzesz,train,pv,1449,2706,0.967,0.948,0.958,0.979,0.8,0.948,0.908,0.928,14.049844741821289
rzeszow,train,pv,435,1692,0.948,0.928,0.938,0.966,0.758,0.909,0.873,0.891,8.615463495254517
rzeszow,val,pv,661,2767,0.861,0.691,0.767,0.743,0.509,0.844,0.65,0.735,9.783481121063232
rzeszow,test,pv,8440,66301,0.897,0.817,0.855,0.893,0.586,0.876,0.774,0.822,54.22418665885925
pilot,test,pv,54,227,0.412,0.198,0.268,0.191,0.083,0.421,0.203,0.274,6.261790990829468
