dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.987,0.986,0.986,0.993,0.881,0.986,0.985,0.985,11.32587718963623
synth_new2,test,pv,114,114,0.991,0.991,0.991,0.995,0.679,0.991,0.991,0.991,7.048657178878784
synth_new1,test,pv,114,114,0.998,1.0,0.999,0.995,0.887,0.998,1.0,0.999,8.303929328918457
synth_old,train,pv,150,374,0.357,0.267,0.306,0.221,0.098,0.32,0.222,0.262,7.374331712722778
synth_old,val,pv,12,35,0.622,0.343,0.442,0.45,0.21,0.622,0.343,0.442,5.667037725448608
synth_old,test,pv,18,32,0.328,0.188,0.239,0.129,0.064,0.218,0.125,0.159,5.843271493911743
mix_synth_rzesz,train,pv,1449,2706,0.966,0.962,0.964,0.983,0.85,0.954,0.936,0.945,14.166177988052368
rzeszow,train,pv,435,1692,0.952,0.958,0.955,0.98,0.835,0.934,0.908,0.921,9.534031391143799
rzeszow,val,pv,661,2767,0.845,0.728,0.782,0.76,0.539,0.828,0.694,0.755,10.28112268447876
rzeszow,test,pv,8440,66301,0.904,0.838,0.87,0.905,0.6,0.88,0.796,0.836,54.51549315452576
pilot,test,pv,54,227,0.286,0.229,0.254,0.166,0.074,0.315,0.247,0.277,6.837023496627808
