dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.988,0.967,0.978,0.99,0.748,0.985,0.964,0.975,14.507489204406738
synth_new2,val,pv,225,225,0.998,0.973,0.985,0.993,0.749,0.993,0.969,0.981,7.6638689041137695
synth_new2,test,pv,114,114,0.983,0.991,0.987,0.995,0.624,0.983,0.991,0.987,7.310165882110596
synth_new1,train,pv,789,789,0.984,0.966,0.975,0.984,0.725,0.981,0.963,0.972,12.567642450332642
synth_new1,val,pv,225,225,0.986,0.978,0.982,0.994,0.749,0.982,0.973,0.977,8.25748062133789
synth_new1,test,pv,114,114,0.991,0.982,0.987,0.994,0.746,0.991,0.982,0.987,7.120304584503174
synth_old,train,pv,150,374,0.365,0.353,0.359,0.3,0.141,0.296,0.286,0.291,8.129063367843628
synth_old,val,pv,12,35,0.491,0.58,0.532,0.586,0.307,0.468,0.552,0.506,5.7163307666778564
synth_old,test,pv,18,32,0.328,0.375,0.35,0.293,0.145,0.168,0.375,0.232,6.136325359344482
mix_synth_rzesz,train,pv,1449,2706,0.817,0.701,0.755,0.753,0.538,0.816,0.698,0.752,17.380133390426636
rzeszow,train,pv,435,1692,0.663,0.57,0.613,0.612,0.423,0.678,0.553,0.609,10.727503776550293
rzeszow,val,pv,661,2767,0.566,0.441,0.496,0.443,0.29,0.547,0.428,0.48,11.622692584991455
rzeszow,test,pv,8440,66301,0.554,0.398,0.463,0.397,0.225,0.544,0.386,0.451,81.36617374420166
pilot,test,pv,54,227,0.275,0.137,0.182,0.123,0.051,0.25,0.132,0.173,6.915283203125
