dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.994,0.98,0.987,0.994,0.817,0.994,0.98,0.987,11.935094356536865
synth_new2,test,pv,114,114,0.987,0.947,0.967,0.986,0.658,0.968,0.93,0.949,6.949733734130859
synth_new1,test,pv,114,114,1.0,0.997,0.998,0.995,0.816,1.0,0.997,0.998,7.837324142456055
synth_old,train,pv,150,374,0.27,0.259,0.265,0.178,0.053,0.265,0.254,0.259,7.431224584579468
synth_old,val,pv,12,35,0.339,0.457,0.389,0.284,0.119,0.339,0.457,0.389,5.456326246261597
synth_old,test,pv,18,32,0.261,0.281,0.271,0.113,0.068,0.205,0.125,0.155,5.587903738021851
mix_synth_rzesz,train,pv,1449,2706,0.906,0.848,0.876,0.933,0.701,0.903,0.836,0.868,13.662023544311523
rzeszow,train,pv,435,1692,0.848,0.782,0.813,0.878,0.616,0.832,0.756,0.792,9.143283605575562
rzeszow,val,pv,661,2767,0.708,0.55,0.619,0.588,0.343,0.684,0.523,0.593,9.786392211914062
rzeszow,test,pv,8440,66301,0.717,0.574,0.637,0.627,0.356,0.703,0.534,0.607,59.963467836380005
pilot,test,pv,54,227,0.32,0.15,0.204,0.112,0.038,0.356,0.176,0.236,6.889572858810425
