setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft39_AdamW_finloop.pt_feval.csv,0.003,0.001,0.0,0.0
ft39_Adam_finloop.pt_feval.csv,0.006,0.004,0.001,0.0
ft39_auto_finloop.pt_feval.csv,0.953,0.978,0.837,0.921
ft39_SGD_finloop.pt_feval.csv,0.831,0.858,0.612,0.814
ft40_AdamW_finloop.pt_feval.csv,0.005,0.001,0.0,0.0
ft40_Adam_finloop.pt_feval.csv,0.0,0.0,0.0,0.0
ft40_auto_finloop.pt_feval.csv,0.953,0.978,0.837,0.921
ft40_SGD_finloop.pt_feval.csv,0.842,0.886,0.64,0.823
ft41_AdamW_finloop.pt_feval.csv,0.007,0.003,0.001,0.0
ft41_Adam_finloop.pt_feval.csv,0.009,0.011,0.002,0.0
ft41_auto_finloop.pt_feval.csv,0.964,0.984,0.85,0.933
ft41_SGD_finloop.pt_feval.csv,0.807,0.74,0.509,0.767
ft42_AdamW_finloop.pt_feval.csv,0.007,0.003,0.001,0.0
ft42_Adam_finloop.pt_feval.csv,0.009,0.011,0.002,0.0
ft42_auto_finloop.pt_feval.csv,0.963,0.983,0.857,0.934
ft42_SGD_finloop.pt_feval.csv,0.811,0.734,0.529,0.784
ft43cos_AdamW_feval.csv,0.818,0.866,0.619,0.796
ft43cos_AdamW_finloop.pt_feval.csv,0.89,0.928,0.664,0.846
ft43cos_Adam_finloop.pt_feval.csv,0.892,0.93,0.667,0.848
ft43cos_auto_finloop.pt_feval.csv,0.954,0.977,0.797,0.912
ft43cos_SGD_feval.csv,0.564,0.564,0.379,0.554
ft43cos_SGD_finloop.pt_feval.csv,0.879,0.908,0.636,0.838
ft43_AdamW_feval.csv,0.803,0.861,0.616,0.776
ft43_AdamW_finloop.pt_feval.csv,0.888,0.926,0.66,0.845
ft43_Adam_finloop.pt_feval.csv,0.886,0.925,0.665,0.845
ft43_auto_finloop.pt_feval.csv,0.951,0.978,0.799,0.914
ft43_SGD_feval.csv,0.572,0.567,0.382,0.56
ft43_SGD_finloop.pt_feval.csv,0.878,0.907,0.636,0.837
ft44cos_AdamW_feval.csv,0.837,0.89,0.644,0.785
ft44cos_AdamW_finloop.pt_feval.csv,0.933,0.964,0.756,0.886
ft44cos_Adam_finloop.pt_feval.csv,0.92,0.957,0.732,0.874
ft44cos_auto_finloop.pt_feval.csv,0.954,0.977,0.797,0.912
ft44cos_SGD_feval.csv,0.871,0.916,0.675,0.832
ft44cos_SGD_finloop.pt_feval.csv,0.915,0.945,0.71,0.873
ft44_AdamW_feval.csv,0.827,0.882,0.64,0.799
