dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.991,0.968,0.979,0.984,0.786,0.991,0.968,0.979,12.438415765762329
synth_new2,test,pv,114,114,0.947,0.941,0.944,0.972,0.621,0.956,0.95,0.953,7.370476484298706
synth_new1,test,pv,114,114,0.99,1.0,0.995,0.995,0.765,0.99,1.0,0.995,8.458670616149902
synth_old,train,pv,150,374,0.337,0.238,0.279,0.167,0.059,0.316,0.217,0.257,7.670240640640259
synth_old,val,pv,12,35,0.534,0.4,0.457,0.393,0.144,0.572,0.429,0.49,5.654110431671143
synth_old,test,pv,18,32,0.249,0.125,0.166,0.091,0.053,0.141,0.125,0.133,5.505131244659424
mix_synth_rzesz,train,pv,1449,2706,0.846,0.894,0.869,0.818,0.611,0.835,0.873,0.854,13.4591224193573
rzeszow,train,pv,435,1692,0.773,0.853,0.811,0.734,0.529,0.747,0.824,0.784,8.99870491027832
rzeszow,val,pv,661,2767,0.647,0.576,0.609,0.533,0.321,0.621,0.531,0.572,9.605318546295166
rzeszow,test,pv,8440,66301,0.705,0.608,0.653,0.605,0.345,0.677,0.568,0.618,59.51944017410278
pilot,test,pv,54,227,0.189,0.167,0.178,0.084,0.027,0.151,0.15,0.15,6.485142946243286
