setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft10_AdamW_feval.csv,0.995,0.995,0.889,0.994
ft10_SGD_feval.csv,0.991,0.994,0.84,0.991
ft11_AdamW_feval.csv,0.993,0.995,0.892,0.993
ft11_SGD_feval.csv,0.974,0.981,0.729,0.975
ft12b_AdamW_feval.csv,0.995,0.995,0.899,0.995
ft12b_SGD_feval.csv,0.956,0.97,0.627,0.957
ft12c_AdamW_feval.csv,0.995,0.995,0.892,0.995
ft12c_SGD_feval.csv,0.959,0.969,0.613,0.961
ft12_AdamW_feval.csv,0.994,0.995,0.887,0.993
ft12_SGD_feval.csv,0.984,0.985,0.791,0.984
ft20_AdamW_ariel.pt_feval.csv,0.982,0.986,0.812,0
ft20_AdamW_feval.csv,0.994,0.995,0.869,0.994
ft20_RMSProp_ariel.pt_feval.csv,0.913,0.948,0.538,0
ft20_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft20_SGD_ariel.pt_feval.csv,0.968,0.982,0.724,0
ft20_SGD_feval.csv,0.995,0.995,0.887,0.995
ft21fin_SGD_finloop.pt_feval.csv,0.967,0.981,0.757,0.966
ft21v8_SGD_feval.csv,0.994,0.995,0.89,0.994
ft21v8_SGD_yolov8l-seg.pt_feval.csv,0.989,0.99,0.877,0.989
ft21_AdamW_ariel.pt_feval.csv,0.975,0.984,0.791,0
ft21_AdamW_feval.csv,0.994,0.995,0.899,0.994
ft21_RMSProp_ariel.pt_feval.csv,0.923,0.957,0.564,0
ft21_RMSProp_feval.csv,0.002,0.042,0.014,0.001
ft21_SGD_ariel.pt_feval.csv,0.962,0.977,0.687,0
ft21_SGD_feval.csv,0.994,0.995,0.89,0.994
ft22_AdamW_ariel.pt_feval.csv,0.984,0.989,0.798,0
ft22_AdamW_feval.csv,0.995,0.995,0.877,0.995
ft22_RMSProp_ariel.pt_feval.csv,0.873,0.921,0.482,0
ft22_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft22_SGD_ariel.pt_feval.csv,0.969,0.982,0.718,0
ft22_SGD_feval.csv,0.996,0.995,0.887,0.996
ft23_AdamW_ariel.pt_feval.csv,0.975,0.984,0.756,0
ft23_AdamW_feval.csv,0.995,0.995,0.874,0.995
ft23_RMSProp_ariel.pt_feval.csv,0.885,0.926,0.509,0
ft23_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft23_SGD_ariel.pt_feval.csv,0.942,0.963,0.637,0
ft23_SGD_feval.csv,0.993,0.995,0.874,0.993
ft24_AdamW_ariel.pt_feval.csv,0.452,0.406,0.182,0
ft24_AdamW_feval.csv,0.995,0.995,0.909,0.995
ft24_RMSProp_ariel.pt_feval.csv,0.861,0.917,0.454,0
ft24_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft24_SGD_ariel.pt_feval.csv,0.68,0.658,0.271,0
ft24_SGD_feval.csv,0.973,0.984,0.732,0.972
ft25_AdamW_ariel.pt_feval.csv,0.471,0.408,0.211,0
ft25_AdamW_feval.csv,0.994,0.995,0.897,0.994
ft25_RMSProp_ariel.pt_feval.csv,0.78,0.831,0.364,0
ft25_RMSProp_feval.csv,0.007,0.931,0.585,0.007
ft25_SGD_ariel.pt_feval.csv,0.716,0.68,0.261,0
ft25_SGD_feval.csv,0.975,0.982,0.724,0.973
ft26_AdamW_feval.csv,0.994,0.995,0.897,0.995
ft26_AdamW_finloop.pt_feval.csv,0.988,0.993,0.845,0.988
ft26_SGD_feval.csv,0.994,0.995,0.901,0.994
ft26_SGD_finloop.pt_feval.csv,0.976,0.984,0.804,0.973
ft27_AdamW_feval.csv,0.996,0.995,0.921,0.996
ft27_AdamW_finloop.pt_feval.csv,0.986,0.99,0.815,0.986
