dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.986,0.986,0.986,0.993,0.899,0.984,0.984,0.984,11.153319835662842
synth_new2,test,pv,114,114,0.991,0.991,0.991,0.995,0.689,0.991,0.991,0.991,6.443861961364746
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.892,0.999,1.0,1.0,7.926043748855591
synth_old,train,pv,150,374,0.369,0.283,0.321,0.236,0.11,0.324,0.249,0.281,6.981194496154785
synth_old,val,pv,12,35,0.542,0.371,0.441,0.478,0.238,0.542,0.371,0.441,5.179555177688599
synth_old,test,pv,18,32,0.345,0.188,0.243,0.158,0.092,0.23,0.125,0.162,5.366149663925171
mix_synth_rzesz,train,pv,1449,2706,0.972,0.96,0.966,0.984,0.86,0.96,0.932,0.946,14.661466598510742
rzeszow,train,pv,435,1692,0.956,0.957,0.957,0.98,0.838,0.942,0.904,0.923,9.024218082427979
rzeszow,val,pv,661,2767,0.858,0.717,0.781,0.762,0.539,0.844,0.691,0.76,9.851705312728882
rzeszow,test,pv,8440,66301,0.905,0.838,0.87,0.907,0.603,0.885,0.793,0.836,53.804956674575806
pilot,test,pv,54,227,0.274,0.238,0.255,0.139,0.062,0.308,0.26,0.282,6.591064929962158
