dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.985,0.967,0.976,0.987,0.746,0.982,0.964,0.973,14.384216070175171
synth_new2,val,pv,225,225,0.982,0.982,0.982,0.994,0.745,0.977,0.978,0.978,7.357503890991211
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.613,0.999,0.991,0.995,11.146398067474365
synth_new1,train,pv,789,789,0.983,0.966,0.975,0.982,0.724,0.982,0.965,0.973,29.693811178207397
synth_new1,val,pv,225,225,0.986,0.969,0.978,0.993,0.734,0.979,0.96,0.97,15.45624041557312
synth_new1,test,pv,114,114,0.977,0.991,0.984,0.994,0.758,0.977,0.991,0.984,10.04533338546753
synth_old,train,pv,150,374,0.43,0.302,0.355,0.278,0.137,0.342,0.257,0.293,11.91953444480896
synth_old,val,pv,12,35,0.539,0.634,0.582,0.601,0.31,0.49,0.577,0.53,5.724565029144287
synth_old,test,pv,18,32,0.337,0.344,0.34,0.322,0.181,0.187,0.219,0.202,6.7233545780181885
mix_synth_rzesz,train,pv,1449,2706,0.858,0.757,0.804,0.831,0.595,0.845,0.737,0.788,18.046138048171997
rzeszow,train,pv,435,1692,0.758,0.645,0.697,0.724,0.501,0.737,0.612,0.668,10.235215425491333
rzeszow,val,pv,661,2767,0.595,0.463,0.521,0.475,0.314,0.581,0.454,0.509,11.599433898925781
rzeszow,test,pv,8440,66301,0.563,0.399,0.467,0.405,0.231,0.551,0.386,0.454,187.57507157325745
pilot,test,pv,54,227,0.268,0.159,0.199,0.119,0.055,0.246,0.145,0.183,9.329635858535767
