dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.958,0.956,0.957,0.979,0.649,0.958,0.954,0.956,14.747095584869385
synth_new2,test,pv,114,114,0.982,0.973,0.978,0.992,0.569,0.982,0.973,0.978,6.786293268203735
synth_new1,test,pv,114,114,0.957,0.965,0.961,0.985,0.661,0.957,0.965,0.961,7.2925615310668945
synth_old,train,pv,150,374,0.255,0.291,0.272,0.228,0.111,0.205,0.29,0.24,7.729771852493286
synth_old,val,pv,12,35,0.482,0.543,0.511,0.479,0.269,0.456,0.514,0.483,5.582921981811523
synth_old,test,pv,18,32,0.334,0.406,0.367,0.293,0.155,0.209,0.25,0.228,5.8371663093566895
mix_synth_rzesz,train,pv,1449,2706,0.801,0.659,0.723,0.735,0.489,0.805,0.648,0.718,18.42006015777588
rzeszow,train,pv,435,1692,0.615,0.535,0.572,0.567,0.382,0.615,0.515,0.56,10.388323068618774
rzeszow,val,pv,661,2767,0.512,0.421,0.462,0.408,0.265,0.51,0.41,0.455,12.177993297576904
rzeszow,test,pv,8440,66301,0.531,0.374,0.439,0.369,0.204,0.523,0.363,0.429,77.24504590034485
pilot,test,pv,54,227,0.298,0.176,0.221,0.119,0.046,0.267,0.172,0.209,7.057512998580933
