dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.852,0.754,0.8,0.844,0.466,0.845,0.748,0.794,11.765382766723633
synth_new2,val,pv,225,225,0.839,0.649,0.732,0.79,0.407,0.837,0.64,0.725,7.078927278518677
synth_new2,test,pv,114,114,0.809,0.818,0.813,0.862,0.481,0.815,0.807,0.811,7.555771589279175
synth_new1,train,pv,789,789,0.842,0.778,0.809,0.845,0.472,0.838,0.768,0.801,10.393433332443237
synth_new1,val,pv,225,225,0.786,0.724,0.754,0.818,0.447,0.771,0.738,0.754,7.27845311164856
synth_new1,test,pv,114,114,0.915,0.816,0.863,0.888,0.487,0.915,0.816,0.863,6.650144100189209
synth_old,train,pv,150,374,0.384,0.345,0.364,0.287,0.111,0.371,0.278,0.318,7.048146724700928
synth_old,val,pv,12,35,0.79,0.571,0.663,0.566,0.211,0.784,0.571,0.661,5.188898086547852
synth_old,test,pv,18,32,0.369,0.281,0.319,0.189,0.095,0.294,0.125,0.175,5.371614694595337
mix_synth_rzesz,train,pv,1449,2706,0.883,0.836,0.859,0.894,0.601,0.866,0.799,0.831,13.684764385223389
rzeszow,train,pv,435,1692,0.909,0.887,0.898,0.927,0.673,0.872,0.841,0.856,8.93995714187622
rzeszow,val,pv,661,2767,0.881,0.754,0.812,0.797,0.562,0.899,0.705,0.79,9.4443941116333
rzeszow,test,pv,8440,66301,0.948,0.901,0.924,0.949,0.629,0.932,0.858,0.894,59.67326235771179
pilot,test,pv,54,227,0.423,0.295,0.348,0.25,0.108,0.365,0.256,0.301,7.079266309738159
