dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.954,0.951,0.952,0.98,0.649,0.957,0.947,0.952,14.219417095184326
synth_new2,test,pv,114,114,0.972,0.974,0.973,0.992,0.571,0.972,0.974,0.973,7.046789169311523
synth_new1,test,pv,114,114,0.96,0.965,0.963,0.987,0.665,0.96,0.965,0.963,7.526626110076904
synth_old,train,pv,150,374,0.241,0.318,0.274,0.225,0.108,0.201,0.273,0.232,7.795059680938721
synth_old,val,pv,12,35,0.476,0.545,0.508,0.484,0.274,0.468,0.553,0.507,5.6001646518707275
synth_old,test,pv,18,32,0.334,0.406,0.366,0.3,0.153,0.188,0.25,0.215,5.6227428913116455
mix_synth_rzesz,train,pv,1449,2706,0.792,0.66,0.72,0.732,0.486,0.788,0.656,0.716,18.28461456298828
rzeszow,train,pv,435,1692,0.618,0.52,0.564,0.564,0.379,0.612,0.506,0.554,10.171290636062622
rzeszow,val,pv,661,2767,0.524,0.415,0.463,0.406,0.264,0.507,0.409,0.453,11.95447850227356
rzeszow,test,pv,8440,66301,0.531,0.373,0.438,0.367,0.204,0.522,0.361,0.427,77.06920075416565
pilot,test,pv,54,227,0.301,0.181,0.226,0.119,0.046,0.269,0.17,0.208,6.823845863342285
