dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.999,0.995,0.997,0.995,0.924,0.999,0.995,0.997,13.989352226257324
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.928,1.0,1.0,1.0,7.582478761672974
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.793,0.999,0.991,0.995,6.970398902893066
synth_new1,train,pv,789,789,0.998,0.992,0.995,0.995,0.909,0.998,0.992,0.995,11.50757884979248
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,7.918108940124512
synth_new1,test,pv,114,114,1.0,1.0,1.0,0.995,0.902,1.0,1.0,1.0,6.812011003494263
synth_old,train,pv,150,374,0.3,0.139,0.19,0.135,0.06,0.263,0.118,0.162,7.5817694664001465
synth_old,val,pv,12,35,0.824,0.537,0.65,0.593,0.285,0.824,0.537,0.65,5.354478359222412
synth_old,test,pv,18,32,0.523,0.25,0.338,0.205,0.1,0.272,0.125,0.171,5.881577253341675
mix_synth_rzesz,train,pv,1449,2706,0.92,0.884,0.902,0.944,0.779,0.942,0.836,0.886,16.574522256851196
rzeszow,train,pv,435,1692,0.871,0.819,0.844,0.894,0.667,0.902,0.743,0.814,10.624409675598145
rzeszow,val,pv,661,2767,0.656,0.501,0.568,0.504,0.325,0.625,0.478,0.542,11.38659143447876
rzeszow,test,pv,8440,66301,0.644,0.438,0.521,0.462,0.274,0.621,0.415,0.497,74.80223441123962
pilot,test,pv,54,227,0.333,0.128,0.185,0.148,0.062,0.358,0.137,0.198,6.725485563278198
