dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.005,0.483,0.01,0.038,0.009,0.0,0.0,0.0,11.423192739486694
synth_new2,test,pv,114,114,0.006,0.518,0.011,0.085,0.02,0.0,0.0,0.0,7.408594131469727
synth_new1,test,pv,114,114,0.005,0.509,0.01,0.061,0.016,0.0,0.0,0.0,8.438271284103394
synth_old,train,pv,150,374,0.007,0.329,0.014,0.037,0.009,0.0,0.0,0.0,7.998181581497192
synth_old,val,pv,12,35,0.005,0.171,0.009,0.012,0.003,0.0,0.0,0.0,5.506237506866455
synth_old,test,pv,18,32,0.004,0.312,0.009,0.023,0.003,0.0,0.0,0.0,5.755499601364136
mix_synth_rzesz,train,pv,1449,2706,0.005,0.316,0.01,0.013,0.003,0.0,0.0,0.0,14.715649604797363
rzeszow,train,pv,435,1692,0.005,0.212,0.009,0.011,0.002,0.0,0.0,0.0,9.427838802337646
rzeszow,val,pv,661,2767,0.004,0.173,0.008,0.012,0.002,0.0,0.0,0.0,10.11249041557312
rzeszow,test,pv,8440,66301,0.009,0.197,0.017,0.014,0.003,0.0,0.0,0.0,56.86986684799194
pilot,test,pv,54,227,0.001,0.013,0.002,0.001,0.0,0.0,0.0,0.0,6.7703070640563965
