dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.999,0.991,0.995,0.995,0.883,0.998,0.99,0.994,12.240081548690796
synth_new2,val,pv,225,225,0.995,1.0,0.997,0.994,0.86,0.995,1.0,0.997,7.075968027114868
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.788,0.999,0.991,0.995,7.24736475944519
synth_new1,train,pv,789,789,0.999,0.99,0.994,0.995,0.867,0.998,0.989,0.993,12.664456844329834
synth_new1,val,pv,225,225,0.995,1.0,0.997,0.994,0.874,0.995,1.0,0.997,8.316308975219727
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.862,0.999,1.0,1.0,7.349263906478882
synth_old,train,pv,150,374,0.11,0.115,0.112,0.059,0.031,0.102,0.078,0.088,7.742250442504883
synth_old,val,pv,12,35,0.687,0.457,0.549,0.519,0.234,0.644,0.4,0.494,5.154458045959473
synth_old,test,pv,18,32,0.199,0.344,0.252,0.133,0.061,0.15,0.265,0.192,5.5943334102630615
rzeszow,train,pv,8440,66301,0.594,0.408,0.484,0.419,0.228,0.576,0.383,0.461,82.61709690093994
rzeszow,val,pv,661,2767,0.777,0.625,0.692,0.679,0.448,0.752,0.603,0.669,10.981180191040039
rzeszow,test,pv,435,1692,0.608,0.533,0.568,0.532,0.322,0.614,0.503,0.553,9.144177913665771
pilot,test,pv,54,227,0.225,0.106,0.144,0.069,0.027,0.242,0.11,0.151,6.597089529037476
