dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.989,0.994,0.995,0.882,0.998,0.989,0.994,10.94801640510559
synth_new2,test,pv,114,114,1.0,0.982,0.991,0.992,0.698,0.991,0.974,0.982,6.5582029819488525
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.862,0.999,1.0,0.999,7.889876127243042
synth_old,train,pv,150,374,0.224,0.246,0.235,0.147,0.064,0.207,0.214,0.211,7.646778345108032
synth_old,val,pv,12,35,0.429,0.343,0.381,0.299,0.116,0.429,0.343,0.381,5.812359571456909
synth_old,test,pv,18,32,0.2,0.219,0.209,0.093,0.054,0.258,0.094,0.138,5.795650959014893
mix_synth_rzesz,train,pv,1449,2706,0.964,0.954,0.959,0.978,0.81,0.95,0.918,0.934,14.16999626159668
rzeszow,train,pv,435,1692,0.941,0.936,0.938,0.963,0.762,0.916,0.881,0.898,9.140754222869873
rzeszow,val,pv,661,2767,0.833,0.687,0.753,0.729,0.491,0.83,0.645,0.726,9.909141778945923
rzeszow,test,pv,8440,66301,0.883,0.764,0.819,0.853,0.546,0.858,0.726,0.786,55.07196235656738
pilot,test,pv,54,227,0.241,0.194,0.215,0.126,0.044,0.369,0.194,0.254,6.671478509902954
