dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.988,0.951,0.969,0.981,0.747,0.987,0.95,0.968,11.614607095718384
synth_new2,val,pv,225,225,0.968,0.948,0.958,0.989,0.73,0.968,0.948,0.958,7.079420566558838
synth_new2,test,pv,114,114,0.97,0.939,0.954,0.978,0.629,0.951,0.921,0.936,7.568697452545166
synth_new1,train,pv,789,789,0.991,0.939,0.964,0.977,0.738,0.989,0.938,0.963,10.199903964996338
synth_new1,val,pv,225,225,0.989,0.942,0.965,0.989,0.732,0.984,0.938,0.96,7.133592367172241
synth_new1,test,pv,114,114,0.966,0.999,0.982,0.993,0.745,0.966,0.999,0.982,6.9308762550354
synth_old,train,pv,150,374,0.234,0.246,0.24,0.173,0.074,0.219,0.214,0.216,7.0951197147369385
synth_old,val,pv,12,35,0.597,0.465,0.523,0.422,0.19,0.597,0.465,0.523,5.139206171035767
synth_old,test,pv,18,32,0.257,0.188,0.217,0.159,0.096,0.176,0.156,0.165,5.265985488891602
mix_synth_rzesz,train,pv,1449,2706,0.946,0.921,0.933,0.955,0.721,0.942,0.887,0.913,14.32661771774292
rzeszow,train,pv,435,1692,0.933,0.906,0.919,0.943,0.71,0.909,0.854,0.881,8.774877309799194
rzeszow,val,pv,661,2767,0.87,0.757,0.81,0.799,0.572,0.884,0.712,0.789,9.397937536239624
rzeszow,test,pv,8440,66301,0.945,0.898,0.921,0.947,0.621,0.93,0.858,0.893,59.50575828552246
pilot,test,pv,54,227,0.237,0.264,0.25,0.16,0.064,0.214,0.247,0.229,6.6736791133880615
