dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,Box-mAP50,Box-mAP50-95,Mask-P,Mask-R,Mask-F1,Mask-mAP50,Mask-mAP50-95,t
rzeszow,train,ft31_SGD,pv,8440,66301,0.567,0.399,0.468,0.406,0.232,0.556,0.386,0.456,0.38493688756167777,0.20009342949740527,73.62886095046997
rzeszow,train,ft31_SGD_finloop.pt,pv,8440,66301,0.942,0.892,0.917,0.944,0.618,0.925,0.851,0.886,0.9091203673936521,0.521887067621987,53.62125587463379
rzeszow,train,ft32_AdamW,pv,8440,66301,0.62,0.412,0.495,0.431,0.255,0.603,0.392,0.475,0.4020745185812648,0.21260437868752852,71.26312804222107
rzeszow,train,ft32_AdamW_finloop.pt,pv,8440,66301,0.889,0.787,0.835,0.872,0.548,0.874,0.751,0.808,0.8287627157042361,0.46307352339294117,52.80981397628784
rzeszow,train,ft32_SGD,pv,8440,66301,0.554,0.398,0.463,0.398,0.225,0.543,0.386,0.451,0.3775081799837744,0.19532964220996846,74.08430409431458
rzeszow,train,ft32_SGD_finloop.pt,pv,8440,66301,0.939,0.886,0.912,0.941,0.609,0.925,0.848,0.885,0.9065825249885795,0.5148662330979705,54.2755069732666
rzeszow,train,ft27_AdamW,pv,8440,66301,0.628,0.4,0.489,0.438,0.261,0.603,0.374,0.462,0.4001831856898557,0.2123219666774852,69.56124973297119
rzeszow,train,ft33_AdamW,pv,8440,66301,0.656,0.418,0.511,0.451,0.276,0.641,0.402,0.494,0.4242359083106406,0.2367850239543025,69.43717408180237
rzeszow,train,ft33_AdamW_finloop.pt,pv,8440,66301,0.919,0.845,0.88,0.916,0.613,0.91,0.812,0.858,0.8864612790746748,0.5321213337216673,52.144652128219604
rzeszow,train,ft33_SGD,pv,8440,66301,0.577,0.403,0.474,0.41,0.235,0.565,0.391,0.462,0.3909084739750899,0.20605987436900813,73.72604465484619
rzeszow,train,ft33_SGD_finloop.pt,pv,8440,66301,0.948,0.901,0.924,0.949,0.629,0.932,0.859,0.894,0.91412054657216,0.5348220494400742,53.860987424850464
rzeszow,train,ft43cos_AdamW_finloop.pt,pv,8440,66301,0.878,0.807,0.841,0.876,0.543,0.851,0.763,0.804,0.8139048064241645,0.44397049514704384,53.20898723602295
rzeszow,train,ft43cos_AdamW,pv,8440,66301,0.629,0.431,0.512,0.452,0.267,0.618,0.412,0.494,0.423658673224218,0.22485771021879755,72.42083954811096
rzeszow,val,finloop,solar-panel,661,2767,0.896,0.786,0.837,0.824,0.583,0.88,0.73,0.798,0.7881604715547827,0.4359430041075204,11.46052098274231
rzeszow,val,ft21SGD,pv,661,2767,0.675,0.49,0.568,0.529,0.357,0.664,0.482,0.559,0.5084627135976753,0.31972652048945216,12.349127769470215
rzeszow,val,ft29_AdamW,pv,661,2767,0.685,0.478,0.563,0.487,0.317,0.656,0.457,0.539,0.45764182026479777,0.27268994928677737,12.252405643463135
rzeszow,val,ft29_AdamW_finloop.pt,pv,661,2767,0.849,0.713,0.775,0.757,0.528,0.819,0.677,0.741,0.7174846407167047,0.45734648356706015,10.990691900253296
rzeszow,val,ft29_SGD,pv,661,2767,0.626,0.482,0.545,0.497,0.329,0.614,0.471,0.533,0.4748172967453609,0.2835600379237287,12.784055471420288
rzeszow,val,ft29_SGD_finloop.pt,pv,661,2767,0.882,0.746,0.808,0.797,0.56,0.886,0.706,0.786,0.7684827072579525,0.4802505291322987,11.249579668045044
rzeszow,val,ft30_AdamW,pv,661,2767,0.697,0.469,0.561,0.502,0.32,0.676,0.452,0.541,0.4672089437930702,0.2764073151004621,12.246232748031616
rzeszow,val,ft30_AdamW_finloop.pt,pv,661,2767,0.846,0.707,0.77,0.759,0.521,0.84,0.678,0.75,0.7268760985412004,0.4542482010741029,10.855302572250366
rzeszow,val,ft30_SGD,pv,661,2767,0.569,0.462,0.51,0.463,0.306,0.551,0.453,0.497,0.4383746661414261,0.2577104403157195,12.998695373535156
rzeszow,val,ft30_SGD_finloop.pt,pv,661,2767,0.876,0.743,0.804,0.791,0.552,0.872,0.709,0.782,0.7651429535695343,0.4704213493610827,11.232953786849976
rzeszow,val,ft31_AdamW,pv,661,2767,0.694,0.475,0.564,0.501,0.322,0.677,0.462,0.549,0.4697613777933813,0.2766186995380863,12.2890043258667
rzeszow,val,ft31_AdamW_finloop.pt,pv,661,2767,0.834,0.717,0.771,0.756,0.519,0.831,0.685,0.751,0.7226007886926722,0.4518577109486194,11.128408193588257
rzeszow,val,ft31_SGD,pv,661,2767,0.6,0.457,0.519,0.472,0.311,0.582,0.447,0.506,0.4468544639578584,0.26177426201938586,13.312052965164185
rzeszow,val,ft31_SGD_finloop.pt,pv,661,2767,0.871,0.747,0.804,0.792,0.553,0.884,0.7,0.782,0.7661707506579516,0.47307650196965784,11.14179515838623
rzeszow,val,ft32_AdamW,pv,661,2767,0.66,0.47,0.549,0.478,0.306,0.637,0.453,0.529,0.44812636868435807,0.2640214459921935,12.634144067764282
rzeszow,val,ft32_AdamW_finloop.pt,pv,661,2767,0.828,0.68,0.747,0.73,0.492,0.811,0.655,0.725,0.6942971311179021,0.42910807706301535,11.035186052322388
rzeszow,val,ft32_SGD,pv,661,2767,0.568,0.442,0.497,0.444,0.29,0.548,0.428,0.481,0.41688108026196957,0.2412306300145231,13.076176643371582
rzeszow,val,ft32_SGD_finloop.pt,pv,661,2767,0.876,0.731,0.797,0.786,0.542,0.86,0.704,0.774,0.756551073546232,0.4618443927639494,11.051793098449707
rzeszow,val,ft27_AdamW,pv,661,2767,0.641,0.486,0.553,0.506,0.323,0.615,0.465,0.53,0.469805850103207,0.27346800168463864,12.207187414169312
rzeszow,val,ft33_AdamW,pv,661,2767,0.696,0.475,0.564,0.506,0.335,0.668,0.472,0.553,0.48570906200568187,0.2967839570592291,12.589439153671265
rzeszow,val,ft33_AdamW_finloop.pt,pv,661,2767,0.861,0.728,0.789,0.776,0.549,0.866,0.683,0.764,0.7414877456576611,0.47680858160332756,10.756893157958984
rzeszow,val,ft33_SGD,pv,661,2767,0.589,0.478,0.528,0.482,0.319,0.573,0.465,0.514,0.4574174210488329,0.2732553735712522,13.474712371826172
rzeszow,val,ft33_SGD_finloop.pt,pv,661,2767,0.877,0.755,0.811,0.796,0.562,0.894,0.707,0.789,0.7694173807803917,0.4828646784320056,10.871121406555176
rzeszow,val,ft43cos_AdamW_finloop.pt,pv,661,2767,0.853,0.691,0.764,0.753,0.505,0.82,0.648,0.724,0.7131993706313373,0.4355797501071321,11.058568000793457
rzeszow,val,ft43cos_AdamW,pv,661,2767,0.66,0.485,0.559,0.512,0.33,0.635,0.467,0.538,0.48222214974315614,0.28397512740749065,12.605429649353027
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,0.872792376173738,0.5190433217345118,10.387019395828247
rzeszow,test,ft21SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,0.8765754263469585,0.624595888001189,11.123945236206055
rzeszow,test,ft29_AdamW,pv,435,1692,0.917,0.868,0.892,0.929,0.714,0.892,0.817,0.853,0.8813558049546373,0.6254932754728517,11.321123361587524
rzeszow,test,ft29_AdamW_finloop.pt,pv,435,1692,0.939,0.89,0.914,0.95,0.724,0.889,0.84,0.864,0.8967682020377487,0.6270108616991383,10.027928829193115
rzeszow,test,ft29_SGD,pv,435,1692,0.792,0.677,0.73,0.763,0.539,0.791,0.648,0.713,0.7362096874270502,0.47772375200032835,11.50986099243164
rzeszow,test,ft29_SGD_finloop.pt,pv,435,1692,0.901,0.892,0.897,0.925,0.67,0.876,0.835,0.855,0.8887339599220977,0.5955711861296108,9.951266527175903
rzeszow,test,ft30_AdamW,pv,435,1692,0.916,0.807,0.858,0.908,0.676,0.91,0.791,0.846,0.8759369021491598,0.6078243482655246,10.629558563232422
rzeszow,test,ft30_AdamW_finloop.pt,pv,435,1692,0.917,0.884,0.9,0.939,0.695,0.901,0.842,0.871,0.9026182387176722,0.6207989740496314,9.81146788597107
rzeszow,test,ft30_SGD,pv,435,1692,0.747,0.587,0.657,0.677,0.466,0.761,0.563,0.647,0.6519851336122454,0.404977237935164,11.43053913116455
rzeszow,test,ft30_SGD_finloop.pt,pv,435,1692,0.9,0.876,0.888,0.918,0.657,0.868,0.83,0.849,0.8790851325230176,0.5745216046263025,9.841103792190552
rzeszow,test,ft31_AdamW,pv,435,1692,0.92,0.83,0.873,0.92,0.694,0.9,0.805,0.85,0.8829814753131604,0.6265522054916535,10.858436584472656
rzeszow,test,ft31_AdamW_finloop.pt,pv,435,1692,0.918,0.885,0.901,0.941,0.701,0.911,0.836,0.872,0.9036598706754606,0.6250323199045432,9.783782482147217
rzeszow,test,ft31_SGD,pv,435,1692,0.754,0.613,0.676,0.694,0.481,0.742,0.596,0.661,0.6659320119455646,0.41695457740296843,11.374975442886353
rzeszow,test,ft31_SGD_finloop.pt,pv,435,1692,0.906,0.877,0.891,0.92,0.66,0.862,0.833,0.847,0.877150492538482,0.5811328925548682,9.996242046356201
rzeszow,test,ft32_AdamW,pv,435,1692,0.875,0.791,0.831,0.871,0.639,0.872,0.773,0.819,0.8380111577535817,0.5629812454303607,11.397154569625854
