dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,Box-mAP50,Box-mAP50-95,Mask-P,Mask-R,Mask-F1,Mask-mAP50,Mask-mAP50-95,t
synth_old,test,ft31_SGD,pv,18,32,0.354,0.359,0.357,0.33,0.177,0.199,0.219,0.208,0.14081098083859195,0.045378464271901384,4.545554876327515
synth_old,test,ft31_SGD_finloop.pt,pv,18,32,0.274,0.312,0.292,0.19,0.103,0.278,0.125,0.172,0.11020199279386839,0.03822303538722056,4.2376322746276855
synth_old,test,ft32_AdamW,pv,18,32,0.631,0.281,0.389,0.285,0.174,0.558,0.25,0.345,0.19067003817960065,0.06017562120597009,4.718165636062622
synth_old,test,ft32_AdamW_finloop.pt,pv,18,32,0.389,0.281,0.327,0.202,0.102,0.211,0.156,0.18,0.09445317164422887,0.03619007750912892,4.308803081512451
synth_old,test,ft32_SGD,pv,18,32,0.328,0.375,0.35,0.293,0.145,0.168,0.375,0.232,0.11121868495123201,0.037474575129593624,4.557093620300293
synth_old,test,ft32_SGD_finloop.pt,pv,18,32,0.378,0.281,0.322,0.212,0.112,0.192,0.156,0.172,0.10999965445751234,0.039630809086366445,4.3201282024383545
synth_old,test,ft27_AdamW,pv,18,32,0.45,0.25,0.321,0.236,0.129,0.288,0.219,0.249,0.15385314685314685,0.0411710394576184,4.512707710266113
synth_old,test,ft33_AdamW,pv,18,32,0.349,0.312,0.33,0.236,0.112,0.305,0.188,0.232,0.12444519475088614,0.04974929239788367,4.752617597579956
synth_old,test,ft33_AdamW_finloop.pt,pv,18,32,0.568,0.188,0.282,0.184,0.1,0.163,0.156,0.159,0.06680502782446311,0.028856504965495928,4.465958595275879
synth_old,test,ft33_SGD,pv,18,32,0.398,0.344,0.369,0.321,0.169,0.19,0.281,0.227,0.15630345303582294,0.04939483080734065,4.8081793785095215
synth_old,test,ft33_SGD_finloop.pt,pv,18,32,0.368,0.281,0.319,0.189,0.095,0.294,0.125,0.175,0.08412252883902804,0.03558320076452311,4.403192043304443
synth_old,test,ft43cos_AdamW_finloop.pt,pv,18,32,0.546,0.281,0.371,0.204,0.099,0.312,0.156,0.208,0.08843112639542963,0.034876699480186145,4.25830340385437
synth_old,test,ft43cos_AdamW,pv,18,32,0.251,0.219,0.234,0.147,0.09,0.213,0.188,0.2,0.08416467913045841,0.0359579411398158,4.646083831787109
synth_new,train,finloop,solar-panel,789,789,0.062,0.027,0.037,0.008,0.001,0.0,0.0,0.0,0.0,0.0,11.48940134048462
synth_new,train,ft21SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,0.9949872286079183,0.803202492041895,13.131572723388672
synth_new,train,ft29_AdamW,pv,789,789,0.999,0.994,0.996,0.995,0.937,0.999,0.994,0.996,0.995,0.881526375813133,12.844871044158936
synth_new,train,ft29_AdamW_finloop.pt,pv,789,789,0.996,0.971,0.983,0.989,0.809,0.994,0.968,0.981,0.9878260444557176,0.5810165928450755,11.293443202972412
synth_new,train,ft29_SGD,pv,789,789,0.992,0.98,0.986,0.993,0.811,0.992,0.98,0.986,0.98812780224029,0.5645947560286836,12.748996496200562
synth_new,train,ft29_SGD_finloop.pt,pv,789,789,0.913,0.843,0.877,0.921,0.568,0.912,0.842,0.875,0.9181173468843518,0.38347725745513406,11.568881750106812
synth_new,train,ft30_AdamW,pv,789,789,1.0,0.99,0.995,0.995,0.908,1.0,0.99,0.995,0.9949744897959184,0.7919712148080763,12.77808690071106
synth_new,train,ft30_AdamW_finloop.pt,pv,789,789,0.985,0.93,0.957,0.976,0.684,0.985,0.93,0.957,0.9751720565205221,0.5116954595146932,11.22980546951294
synth_new,train,ft30_SGD,pv,789,789,0.982,0.967,0.975,0.986,0.716,0.98,0.965,0.972,0.9808752044451098,0.5248071638878347,12.991733312606812
synth_new,train,ft30_SGD_finloop.pt,pv,789,789,0.857,0.796,0.825,0.865,0.494,0.847,0.79,0.817,0.8527540630563845,0.31185957452530466,11.582927703857422
synth_new,train,ft31_AdamW,pv,789,789,0.998,0.992,0.995,0.995,0.909,0.998,0.991,0.995,0.9949872286079183,0.8023019063048029,12.711067914962769
synth_new,train,ft31_AdamW_finloop.pt,pv,789,789,0.981,0.944,0.962,0.977,0.68,0.982,0.944,0.962,0.9768022739654394,0.5028027510919129,11.21001672744751
synth_new,train,ft31_SGD,pv,789,789,0.988,0.967,0.978,0.989,0.755,0.986,0.964,0.975,0.9830209022260304,0.5332240768553349,12.883352279663086
synth_new,train,ft31_SGD_finloop.pt,pv,789,789,0.853,0.816,0.834,0.873,0.505,0.845,0.809,0.827,0.8603768947827463,0.3206689544130972,11.536843538284302
synth_new,train,ft32_AdamW,pv,789,789,0.999,0.993,0.996,0.995,0.909,0.999,0.992,0.996,0.9949872448979592,0.798853045355899,12.655487775802612
synth_new,train,ft32_AdamW_finloop.pt,pv,789,789,0.975,0.949,0.962,0.975,0.684,0.974,0.948,0.961,0.9726815771011569,0.47810098098142334,11.218555927276611
synth_new,train,ft32_SGD,pv,789,789,0.992,0.966,0.979,0.988,0.749,0.99,0.964,0.976,0.9828606703442562,0.5087319872713166,13.0988450050354
synth_new,train,ft32_SGD_finloop.pt,pv,789,789,0.855,0.795,0.824,0.87,0.497,0.851,0.788,0.819,0.856316900396535,0.3008567857173436,11.20212721824646
synth_new,train,ft27_AdamW,pv,789,789,0.998,0.995,0.996,0.995,0.93,1.0,0.991,0.995,0.995,0.8801661637959712,12.579612731933594
synth_new,train,ft33_AdamW,pv,789,789,0.999,0.991,0.995,0.995,0.929,0.999,0.992,0.995,0.9949872448979592,0.8357157104494604,13.017454624176025
synth_new,train,ft33_AdamW_finloop.pt,pv,789,789,0.981,0.946,0.963,0.975,0.701,0.982,0.943,0.962,0.9761879184845429,0.5072566936954275,11.177295684814453
synth_new,train,ft33_SGD,pv,789,789,0.987,0.975,0.981,0.989,0.777,0.984,0.972,0.978,0.9832063432061785,0.5642891757453974,13.15227222442627
synth_new,train,ft33_SGD_finloop.pt,pv,789,789,0.874,0.779,0.824,0.859,0.484,0.87,0.776,0.82,0.8478957538329756,0.31557284153096926,11.459675550460815
synth_new,train,ft43cos_AdamW_finloop.pt,pv,789,789,0.952,0.901,0.926,0.965,0.638,0.953,0.902,0.927,0.9666581608141006,0.49816768228644676,11.02033257484436
synth_new,train,ft43cos_AdamW,pv,789,789,1.0,0.991,0.995,0.995,0.89,1.0,0.991,0.995,0.995,0.7721252404985189,12.764831304550171
synth_new,val,finloop,solar-panel,225,225,0.046,0.053,0.05,0.011,0.002,0.0,0.0,0.0,0.0,0.0,8.104146003723145
synth_new,val,ft21SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,0.995,0.8124872988122253,8.517329454421997
synth_new,val,ft29_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,0.995,0.8680927580933888,8.148497819900513
synth_new,val,ft29_AdamW_finloop.pt,pv,225,225,0.983,0.969,0.976,0.988,0.811,0.987,0.973,0.98,0.9911927295399808,0.5575973701640702,7.755534410476685
synth_new,val,ft29_SGD,pv,225,225,0.999,0.987,0.993,0.995,0.816,0.994,0.982,0.988,0.9924406939690781,0.5885516869431103,8.435370922088623
synth_new,val,ft29_SGD_finloop.pt,pv,225,225,0.912,0.809,0.857,0.894,0.507,0.931,0.782,0.85,0.8825741150660938,0.3659475824110903,8.06511640548706
synth_new,val,ft30_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.9,1.0,1.0,1.0,0.995,0.8028606367550173,8.076985597610474
synth_new,val,ft30_AdamW_finloop.pt,pv,225,225,0.957,0.907,0.931,0.974,0.681,0.957,0.907,0.931,0.9710473437666797,0.5065584824484378,7.547780275344849
synth_new,val,ft30_SGD,pv,225,225,0.982,0.977,0.979,0.994,0.736,0.982,0.977,0.979,0.9936132013339971,0.5226488005837594,8.494800567626953
synth_new,val,ft30_SGD_finloop.pt,pv,225,225,0.883,0.684,0.771,0.814,0.422,0.877,0.68,0.766,0.797784989104015,0.30304050508468533,7.693673849105835
synth_new,val,ft31_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.904,1.0,1.0,1.0,0.995,0.8133935803916232,8.47190237045288
synth_new,val,ft31_AdamW_finloop.pt,pv,225,225,0.967,0.918,0.942,0.974,0.679,0.967,0.918,0.942,0.972545003974097,0.5017037356820889,7.703299283981323
synth_new,val,ft31_SGD,pv,225,225,0.995,0.978,0.986,0.994,0.763,0.995,0.978,0.986,0.9941905704589528,0.5360395043388813,8.55797028541565
synth_new,val,ft31_SGD_finloop.pt,pv,225,225,0.884,0.707,0.786,0.83,0.44,0.896,0.69,0.78,0.8140804103656881,0.30974097917987176,8.01210880279541
synth_new,val,ft32_AdamW,pv,225,225,1.0,0.995,0.998,0.995,0.901,1.0,0.995,0.998,0.995,0.8092255078564318,8.45068645477295
synth_new,val,ft32_AdamW_finloop.pt,pv,225,225,0.981,0.913,0.946,0.983,0.693,0.977,0.907,0.94,0.9779430340773612,0.4734853646017374,7.66139030456543
synth_new,val,ft32_SGD,pv,225,225,0.995,0.981,0.988,0.992,0.753,0.995,0.981,0.988,0.9923884684684684,0.5031500549181074,8.432594537734985
synth_new,val,ft32_SGD_finloop.pt,pv,225,225,0.84,0.721,0.776,0.81,0.426,0.829,0.711,0.766,0.7886801153677288,0.28985729557727097,8.47142481803894
synth_new,val,ft27_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,0.995,0.8716571432001615,8.12883734703064
synth_new,val,ft33_AdamW,pv,225,225,0.995,1.0,0.998,0.995,0.932,0.995,1.0,0.998,0.995,0.8336689915322181,8.461959600448608
synth_new,val,ft33_AdamW_finloop.pt,pv,225,225,0.964,0.947,0.955,0.982,0.715,0.959,0.942,0.951,0.9691955331487433,0.5007916430288245,7.6868321895599365
synth_new,val,ft33_SGD,pv,225,225,0.999,0.982,0.991,0.995,0.779,0.999,0.982,0.991,0.9947379912663755,0.569921810405341,8.569065570831299
synth_new,val,ft33_SGD_finloop.pt,pv,225,225,0.841,0.649,0.732,0.787,0.402,0.839,0.644,0.729,0.7723594967758183,0.2819900396093149,7.923981428146362
synth_new,val,ft43cos_AdamW_finloop.pt,pv,225,225,0.957,0.886,0.92,0.964,0.638,0.957,0.882,0.918,0.9644641963017727,0.47461096136274394,7.841482877731323
synth_new,val,ft43cos_AdamW,pv,225,225,1.0,0.995,0.998,0.995,0.888,1.0,0.995,0.998,0.995,0.778809718543354,8.496437311172485
synth_new,test,finloop,solar-panel,114,114,0.2,0.035,0.06,0.037,0.004,0.0,0.0,0.0,0.0,0.0,5.989845275878906
synth_new,test,ft21SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,0.995,0.6574239365658407,7.0250513553619385
synth_new,test,ft29_AdamW,pv,114,114,1.0,0.982,0.991,0.995,0.794,1.0,0.982,0.991,0.9948260869565216,0.7582496325981956,6.553775072097778
synth_new,test,ft29_AdamW_finloop.pt,pv,114,114,0.987,0.982,0.985,0.986,0.636,0.987,0.982,0.985,0.985966711036349,0.4453569830291183,6.2715301513671875
synth_new,test,ft29_SGD,pv,114,114,0.997,0.991,0.994,0.995,0.63,0.997,0.991,0.994,0.995,0.49970665437741807,6.571751594543457
synth_new,test,ft29_SGD_finloop.pt,pv,114,114,0.898,0.833,0.865,0.927,0.514,0.898,0.833,0.865,0.9171834701323326,0.3453372860527296,6.144497394561768
synth_new,test,ft30_AdamW,pv,114,114,0.999,0.991,0.995,0.995,0.746,0.999,0.991,0.995,0.995,0.6715150331535356,6.605057239532471
synth_new,test,ft30_AdamW_finloop.pt,pv,114,114,0.959,0.956,0.958,0.987,0.543,0.959,0.956,0.958,0.9870562726127055,0.4608118232109435,6.079050064086914
synth_new,test,ft30_SGD,pv,114,114,0.977,0.991,0.984,0.995,0.603,0.977,0.991,0.984,0.9946521739130434,0.47564482088229987,6.764166831970215
synth_new,test,ft30_SGD_finloop.pt,pv,114,114,0.788,0.85,0.818,0.867,0.472,0.81,0.823,0.816,0.8707049378746144,0.28718930276318905,6.210437059402466
synth_new,test,ft31_AdamW,pv,114,114,0.999,0.991,0.995,0.995,0.737,0.999,0.991,0.995,0.995,0.6799266529325619,6.7325828075408936
synth_new,test,ft31_AdamW_finloop.pt,pv,114,114,0.974,0.972,0.973,0.992,0.52,0.982,0.946,0.963,0.990441062334939,0.45494333783123786,6.243623733520508
synth_new,test,ft31_SGD,pv,114,114,1.0,0.989,0.995,0.995,0.608,1.0,0.989,0.995,0.995,0.4794725206273183,6.801923513412476
synth_new,test,ft31_SGD_finloop.pt,pv,114,114,0.827,0.833,0.83,0.889,0.485,0.818,0.825,0.821,0.8772489910191961,0.29224335014938346,6.316771984100342
synth_new,test,ft32_AdamW,pv,114,114,0.991,0.991,0.991,0.995,0.757,0.991,0.991,0.991,0.9949122807017544,0.6851382764941556,6.410892963409424
synth_new,test,ft32_AdamW_finloop.pt,pv,114,114,0.992,0.93,0.96,0.978,0.561,0.992,0.93,0.96,0.9783786188343415,0.4247598935501533,6.404931306838989
synth_new,test,ft32_SGD,pv,114,114,0.973,0.991,0.982,0.994,0.624,0.973,0.991,0.982,0.9941225296442688,0.4644054192813584,6.656211614608765
synth_new,test,ft32_SGD_finloop.pt,pv,114,114,0.882,0.79,0.833,0.897,0.506,0.844,0.772,0.806,0.8282212569563271,0.3057888592476765,6.526745319366455
synth_new,test,ft27_AdamW,pv,114,114,1.0,0.99,0.995,0.995,0.842,1.0,0.99,0.995,0.995,0.7737753764005546,6.306447744369507
synth_new,test,ft33_AdamW,pv,114,114,0.999,0.956,0.977,0.986,0.757,0.989,0.982,0.986,0.9929826884568179,0.6753455616069873,6.648254156112671
synth_new,test,ft33_AdamW_finloop.pt,pv,114,114,0.951,0.947,0.949,0.984,0.573,0.951,0.947,0.949,0.9843138644671752,0.434954229830754,6.123446464538574
synth_new,test,ft33_SGD,pv,114,114,0.991,0.982,0.986,0.981,0.622,1.0,0.991,0.995,0.995,0.4920202446231771,6.428816080093384
synth_new,test,ft33_SGD_finloop.pt,pv,114,114,0.802,0.82,0.811,0.859,0.483,0.802,0.817,0.81,0.8531856492346118,0.3023240224668429,6.581962823867798
synth_new,test,ft43cos_AdamW_finloop.pt,pv,114,114,0.965,0.895,0.929,0.966,0.48,0.965,0.895,0.929,0.967659876233785,0.4431259518770762,6.134390354156494
synth_new,test,ft43cos_AdamW,pv,114,114,1.0,0.991,0.996,0.995,0.752,1.0,0.991,0.996,0.995,0.6898126338058506,6.705034017562866
