dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new,test,ft30_SGD_finloop.pt,pv,114,114,0.788,0.85,0.818,0.867,0.472,0.81,0.823,0.816,6.0884246826171875
synth_new,test,ft31_AdamW,pv,114,114,0.999,0.991,0.995,0.995,0.737,0.999,0.991,0.995,6.472768545150757
synth_new,test,ft31_AdamW_finloop.pt,pv,114,114,0.974,0.972,0.973,0.992,0.52,0.982,0.946,0.963,6.280292272567749
synth_new,test,ft31_SGD,pv,114,114,1.0,0.989,0.995,0.995,0.608,1.0,0.989,0.995,6.471238613128662
synth_new,test,ft31_SGD_finloop.pt,pv,114,114,0.827,0.833,0.83,0.889,0.485,0.818,0.825,0.821,6.1294779777526855
synth_new,test,ft32_AdamW,pv,114,114,0.991,0.991,0.991,0.995,0.757,0.991,0.991,0.991,6.45856237411499
synth_new,test,ft32_AdamW_finloop.pt,pv,114,114,0.992,0.93,0.96,0.978,0.561,0.992,0.93,0.96,5.996202230453491
synth_new,test,ft32_SGD,pv,114,114,0.973,0.991,0.982,0.994,0.624,0.973,0.991,0.982,6.839128017425537
synth_new,test,ft32_SGD_finloop.pt,pv,114,114,0.882,0.79,0.833,0.897,0.506,0.844,0.772,0.806,6.201980113983154
synth_new,test,ft33_AdamW,pv,114,114,0.999,0.956,0.977,0.986,0.757,0.989,0.982,0.986,6.761412143707275
synth_new,test,ft33_AdamW_finloop.pt,pv,114,114,0.951,0.947,0.949,0.984,0.573,0.951,0.947,0.949,6.0517418384552
synth_new,test,ft33_SGD,pv,114,114,0.991,0.982,0.986,0.981,0.622,1.0,0.991,0.995,6.726824522018433
synth_new,test,ft33_SGD_finloop.pt,pv,114,114,0.802,0.82,0.811,0.859,0.483,0.802,0.817,0.81,6.2019524574279785
