dataset,model,area,time
pilot,finloop,0.2990038990974426,28.55551242828369
pilot,ariel,0.4717724621295929,27.65971064567566
pilot,pools,0.26933354139328003,28.93488073348999
synth_test,finloop,0.384086936712265,8.629099130630493
synth_test,ariel,0.4851464331150055,9.090945720672607
synth_test,pools,0.4620385766029358,10.500114440917969
synth_train,finloop,3.1537718772888184,75.8422224521637
synth_train,ariel,3.5791847705841064,75.32162261009216
synth_train,pools,3.6145858764648438,83.07621002197266
synth_valid,finloop,0.3478027284145355,5.797577381134033
synth_valid,ariel,0.32781982421875,5.548133611679077
synth_valid,pools,0.4041161835193634,6.6332948207855225
