dataset,mode,area,time
pilot,segment,0.2908081114292145,115.50210523605347
pilot,SAM,0.29954347014427185,24.581958293914795
synth_test,segment,0.38375240564346313,37.11896991729736
synth_test,SAM,0.384086936712265,7.69858455657959
synth_train,segment,3.0892672538757324,16.282078742980957
synth_train,SAM,3.1541576385498047,69.33822393417358
synth_valid,segment,0.3520556688308716,26.136937141418457
synth_valid,SAM,0.3478027284145355,5.05136775970459
