dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,1.0,0.99,0.995,0.995,0.887,1.0,0.99,0.995,12.281477212905884
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.866,1.0,1.0,1.0,6.942548751831055
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.716,0.999,0.991,0.995,6.008981704711914
synth_new1,train,pv,789,789,1.0,0.99,0.995,0.995,0.86,1.0,0.99,0.995,10.86486268043518
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.87,1.0,1.0,1.0,7.130735635757446
synth_new1,test,pv,114,114,0.999,1.0,0.999,0.995,0.851,0.999,1.0,0.999,6.3366734981536865
synth_old,train,pv,150,374,0.384,0.281,0.324,0.223,0.107,0.324,0.238,0.274,6.590415954589844
synth_old,val,pv,12,35,0.645,0.543,0.59,0.593,0.302,0.575,0.502,0.536,4.808547496795654
synth_old,test,pv,18,32,0.473,0.309,0.374,0.244,0.097,0.094,0.188,0.125,4.9508748054504395
rzeszow,train,pv,8440,66301,0.639,0.445,0.525,0.473,0.288,0.626,0.432,0.511,72.56033635139465
rzeszow,val,pv,661,2767,0.894,0.754,0.818,0.826,0.624,0.883,0.74,0.805,10.883638143539429
rzeszow,test,pv,435,1692,0.705,0.6,0.648,0.639,0.435,0.695,0.597,0.642,9.2953200340271
pilot,test,pv,54,227,0.071,0.198,0.105,0.087,0.039,0.151,0.088,0.111,6.417698621749878
