dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,789,789,0.991,0.983,0.987,0.992,0.829,0.992,0.978,0.985,12.717372179031372
synth_new2,val,pv,225,225,0.996,0.969,0.982,0.994,0.796,0.996,0.969,0.982,7.324060916900635
synth_new2,test,pv,114,114,0.991,0.982,0.987,0.98,0.608,1.0,0.991,0.996,6.374994993209839
synth_new1,train,pv,789,789,0.99,0.978,0.984,0.985,0.791,0.991,0.977,0.984,11.31529688835144
synth_new1,val,pv,225,225,0.996,0.991,0.993,0.995,0.798,0.991,0.987,0.989,7.611229181289673
synth_new1,test,pv,114,114,0.997,1.0,0.999,0.995,0.814,0.997,1.0,0.999,6.701486587524414
synth_old,train,pv,150,374,0.413,0.273,0.328,0.215,0.103,0.345,0.23,0.276,7.737428665161133
synth_old,val,pv,12,35,0.575,0.6,0.587,0.584,0.289,0.541,0.6,0.569,5.141528606414795
synth_old,test,pv,18,32,0.332,0.438,0.377,0.312,0.153,0.183,0.273,0.219,5.768212556838989
rzeszow,train,pv,8440,66301,0.596,0.424,0.495,0.439,0.26,0.582,0.411,0.482,73.74038910865784
rzeszow,val,pv,661,2767,0.836,0.687,0.754,0.748,0.544,0.825,0.681,0.746,11.16312050819397
rzeszow,test,pv,435,1692,0.657,0.582,0.617,0.609,0.408,0.65,0.577,0.611,9.647357702255249
pilot,test,pv,54,227,0.449,0.122,0.192,0.152,0.071,0.179,0.169,0.173,6.463212251663208
